url,product_name,current_price,original_price,discount,rating,review_count,colors,sizes,description,features,image_urls
https://www.jcpenney.com/p/xersion-womens-cotton-crew-neck-short-sleeve-t-shirt-plus/ppr5008623590?pTmplType=regular&searchTerm=tshirt,Xersion Womens Cotton Crew Neck Short Sleeve T-Shirt Plus,12.99,25.0,48.0,4.5833,12,"Cherry Blossom , Xenon Blue , Med Hthr Gray , Black , Pastel Purple , White , Evergreen , Moonlight","4x , 3x , 5x , 0x , 2x , 1x","The Xersion women’s cotton crew-neck short-sleeve t-shirt delivers everyday comfort with breathable softness. It features a classic crew neckline and relaxed fit for easy movement. Pair this lightweight tee with joggers or leggings for a simple, sporty look that keeps you comfortable all day.","2nd Piece Sleeve Length: Short Sleeves | Features: Essentials | Closure Type: Pullover Head | Fit: Loose Fit | Neckline: Crew Neck | Sleeve Length: Short Sleeve | Apparel Length: 28 Inches - Back, 27 Inches - Front | Fiber Content: 60% Cotton, 40% Repreve Recycled Polyester | Fabric Description: Jersey | Care: Tumble Dry, Machine Wash | Country of Origin: Imported",https://jcpenney.scene7.com/is/image/JCPenney/DP1203202509215758M | https://jcpenney.scene7.com/is/image/JCPenney/DP1203202509215654M | https://jcpenney.scene7.com/is/image/JCPenney/DP1203202509215863M
https://www.jcpenney.com/p/adidas-mens-crew-neck-short-sleeve-active-big-and-tall-t-shirt/ppr5008448258?pTmplType=regular&searchTerm=tshirt,adidas Mens Crew Neck Short Sleeve Active Big and Tall T-Shirt,20.0,25.0,20.0,4.8667,15,"Pure Ruby Black , White Black , Black White , Tm Royal Blue Blk","medium tall , large tall , 2x-large tall , 4x-large tall , 3x-large tall , 4x-large , x-large tall , 3x-large","This essentials collection seamlessly transcends age, ethnicity, and gender boundaries, embodying the brand's commitment to inclusivity and style for all. Designed with an entry-level pricing strategy, essentials ensures accessibility without compromising on quality, making it not only inclusive across demographics but also affordable for everyone who appreciates the brand's ethos.","Closure Type: Pullover Head | Fit: Regular Fit | Neckline: Crew Neck | Sleeve Length: Short Sleeve | Apparel Length: 31 Inches | Fiber Content: 100% Cotton | Fabric Description: Jersey | Care: Machine Wash, Tumble Dry | Material: Cotton | Country of Origin: Imported",https://jcpenney.scene7.com/is/image/JCPenney/DP0326202509024945M | https://jcpenney.scene7.com/is/image/JCPenney/DP0326202509024529M | https://jcpenney.scene7.com/is/image/JCPenney/DP0204202507070073M | https://jcpenney.scene7.com/is/image/JCPenney/DP0326202509024737M | https://jcpenney.scene7.com/is/image/JCPenney/DP0204202507070682M
https://www.jcpenney.com/p/alfred-dunner-womens-crew-neck-short-sleeve-t-shirt/ppr5008594453?pTmplType=regular&searchTerm=tshirt,Alfred Dunner Womens Crew Neck Short Sleeve T-Shirt,44.62,59.5,25%,,,Pink Multi,"petite medium , large , petite small , petite large , x-large , small , petite x-large , medium","This Alfred Dunner women's plus t-shirt features a tropical leaf pattern for a summer or vacation style statement. Made from soft stretch-knit, this pullover tee has a crew neck, a tie at the side and short sleeves. Wear it with pants or jeans.","Closure Type: Pullover Head | Fit: Regular Fit | Neckline: Crew Neck | Sleeve Length: Short Sleeve | Apparel Length: 24.5 Inches | Fiber Content: 70% Polyester, 30% Rayon | Care: Tumble Dry, Machine Wash | Country of Origin: Imported",https://jcpenney.scene7.com/is/image/JCPenney/DP0130202607183515M | https://jcpenney.scene7.com/is/image/JCPenney/DP0130202607183306M | https://jcpenney.scene7.com/is/image/JCPenney/DP0130202607183201M | https://jcpenney.scene7.com/is/image/JCPenney/DP0130202607183410M
https://www.jcpenney.com/p/alfred-dunner-crowd-pleaser-womens-crew-neck-short-sleeve-t-shirt/ppr5008594400?pTmplType=regular&searchTerm=tshirt,Alfred Dunner Crowd Pleaser Womens Crew Neck Short Sleeve T-Shirt,44.62,59.5,25%,5.0,1,White,"petite medium , large , petite small , petite large , x-large , small , petite x-large , medium","This Alfred Dunner women's t-shirt is an elegant boho inspired style for warm weather. Made from a cotton blend, this short-sleeve tee has a removable necklace, a beautiful black embroidered pattern and scalloped trims. Wear it with capris or jeans.","Fit: Regular Fit | Neckline: Crew Neck | Sleeve Length: Short Sleeve | Apparel Length: 24.5 Inches | Fiber Content: 60% Cotton, 40% Polyester | Fabric Description: Knit | Care: Machine Wash, Tumble Dry | Country of Origin: Imported",https://jcpenney.scene7.com/is/image/JCPenney/DP0313202613150526M | https://jcpenney.scene7.com/is/image/JCPenney/DP0313202613150630M | https://jcpenney.scene7.com/is/image/JCPenney/DP0313202613150945M | https://jcpenney.scene7.com/is/image/JCPenney/DP0313202613150735M
https://www.jcpenney.com/p/st-johns-bay-womens-easy-on-easy-off-boat-neck-short-sleeve-adaptive-t-shirt/ppr5008584253?pTmplType=regular&searchTerm=tshirt,St. John's Bay Womens Easy-on + Easy-off Boat Neck Short Sleeve Adaptive T-Shirt,12.99,28.0,53.0,5.0,2,"Black , White , Alaskan Blue , Tropical Orchid , Rose Valley , Rose Garden","large , x-small , xx-large , x-large , small , medium","Switch up your essentials with this adaptive women's St. John's Bay t-shirt fitted a wide bateau neckline for easy-on-and-off wear and three-quarter sleeves. Plus, the cotton-jersey fabric and tag-free design supports sensory issues for comfortable, every day wear.","Features: Adaptive | Closure Type: Pullover Head | Fit: Regular Fit | Neckline: Boat Neck | Sleeve Length: Short Sleeve | Apparel Length: 26 Inches - Front | Fiber Content: 100% Cotton | Fabric Description: Knit | Care: Machine Wash, Tumble Dry | Certifications And Listings: Oeko-Tex Standard 100 | Adaptive Features: Wide Neck, Flat Seams, Tag Free | Material: Cotton | Oeko-Tex Standard 100 Label: Kl020 178692 | Oeko-Tex Standard 100 Test Institute: Testex | Country of Origin: Imported",https://jcpenney.scene7.com/is/image/JCPenney/DP0204202607162601M | https://jcpenney.scene7.com/is/image/JCPenney/DP1030202509072229M | https://jcpenney.scene7.com/is/image/JCPenney/DP1029202509025989M | https://jcpenney.scene7.com/is/image/JCPenney/DP1029202509031241M | https://jcpenney.scene7.com/is/image/JCPenney/DP1029202509030616M
https://www.jcpenney.com/p/st-johns-bay-womens-tall-v-neck-short-sleeve-t-shirt/ppr5008551876?pTmplType=regular&searchTerm=tshirt,St. John's Bay Womens Tall V Neck Short Sleeve T-Shirt,7.99,20.0,60.0,5.0,2,"Bold Blue , American Navy , Green Splash , Vibrant Green , Black , Strawberry Freeze , White , Peach Cobbler , Cabaret Red , Alaskan Blue , Oregano , Limelight , Innocent Pink , Rose Garden","medium tall , large tall , x-small tall , small tall , xx-large tall , x-large tall","This St. John's Bay women's tall t-shirt serves as a functional and crisp essential for your weekly lineup. It incorporates a V-neckline, short sleeves, and a pullover design to ensure a comfortable fit. Wear with jeans, trousers, or shorts.","2nd Piece Closure Type: Pullover Head | Features: Essentials | Closure Type: Pullover Head | Fit: Regular Fit | Neckline: V Neck | Sleeve Length: Short Sleeve | Sleeve Style: Cap Sleeve | Apparel Length: 27.5 Inches | Fiber Content: 100% Cotton | Fabric Description: Rib Knit | Filling Content: 100% Cotton | Care: Machine Wash, Tumble Dry | Certifications And Listings: Oeko-Tex Standard 100 | Material: Cotton | Oeko-Tex Standard 100 Label: Kl020 175227 | Oeko-Tex Standard 100 Test Institute: Testex Ag | Country of Origin: Imported",https://jcpenney.scene7.com/is/image/JCPenney/DP0902202515004906M | https://jcpenney.scene7.com/is/image/JCPenney/DP0721202509052125M | https://jcpenney.scene7.com/is/image/JCPenney/DP0902202515005325M | https://jcpenney.scene7.com/is/image/JCPenney/DP0721202509051917M | https://jcpenney.scene7.com/is/image/JCPenney/DP0902202515005743M
https://www.jcpenney.com/p/arizona-mens-crew-neck-short-sleeve-t-shirt/ppr5008637793?pTmplType=regular&searchTerm=tshirt,Arizona Mens Crew Neck Short Sleeve T-Shirt,5.99,12.0,50.0,4.6721,61,"Bering Sea , Lichen Green , Papaya Punch , Stone Boulder , Brick Dust Htr , Azure Blue , Sterling Aqua , Northatlantic Teal","large , xx-large , x-large , small , medium","Safely designed from cotton-knit with REPREVE recycled fabric, this men's pullover t-shirt from Arizona Jeans Co. has a classic crew neck and short sleeves. Pair this essential with everything from jeans to a blazer and tailored pants.","Closure Type: Pullover Head | Fit: Regular Fit | Neckline: Crew Neck | Sleeve Length: Short Sleeve | Apparel Length: 28.5 Inches | Fiber Content: 60% Cotton, 40% Repreve Recycled Polyester | Fabric Description: Jersey | Care: Machine Wash, Tumble Dry | Material: Cotton Blend | Country of Origin: Imported",https://jcpenney.scene7.com/is/image/JCPenney/DP0107202611030119M | https://jcpenney.scene7.com/is/image/JCPenney/DP0107202611030223M | https://jcpenney.scene7.com/is/image/JCPenney/DP0107202611030326M
https://www.jcpenney.com/p/st-johns-bay-womens-plus-crew-neck-short-sleeve-regular-fit-graphic-t-shirt/ppr5008584255?pTmplType=regular&searchTerm=tshirt,St. John's Bay Womens Plus Crew Neck Short Sleeve Regular Fit Graphic T-Shirt,12.99,26.0,50.0,4.6364,11,"Flag , Strawberry Fields , Turtle , Coast To Coast , Pink Cherries , Beach Club , Limone , Green Stripe , Pink Heart , Navy Stripe , By The Sea","4x , 3x , 5x , 0x , 2x , 1x","Refresh your casual wardrobe with the St. John’s Bay women’s plus t-shirt, made from cotton-blend jersey fabric. Featuring a crew neckline and short, fitted sleeves, this pullover tee pairs seamlessly with jeans, shorts, or skirts for effortless daily outfits.","Closure Type: Pullover Head | Fit: Regular Fit | Neckline: Crew Neck | Sleeve Length: Short Sleeve | Sleeve Style: Cap Sleeve | Apparel Length: 28 Inches - Front | Fiber Content: 60% Cotton, 40% Polyester | Fabric Description: Jersey, Knit | Care: Machine Wash, Tumble Dry | Material: Cotton Blend | Country of Origin: Imported",https://jcpenney.scene7.com/is/image/JCPenney/DP1103202511475001M | https://jcpenney.scene7.com/is/image/JCPenney/DP1103202511475838M | https://jcpenney.scene7.com/is/image/JCPenney/DP1103202511480684M
https://www.jcpenney.com/p/xersion-xtreme-mens-crew-neck-short-sleeve-quick-dry-active-t-shirt/ppr5008571259?pTmplType=regular&searchTerm=tshirt,Xersion Xtreme Mens Crew Neck Short Sleeve Quick Dry Active T-Shirt,4.19,14.0,70.0,4.6594,552,"Brick Dust , Brazilian Sand","large , xx-large , x-large , small , medium","Add comfort to your casual essentials with this Xersion Xtreme men's active t-shirt. Made from breathable cotton-jersey with quick-dry and moisture-wicking properties to keep you cool, it has a classic crew neck and short sleeves.","Features: Moisture Wicking, Quick Dry | Closure Type: Pullover Head | Fit: Regular Fit | Neckline: Crew Neck | Sleeve Length: Short Sleeve | Fiber Content: 100% Cotton | Fabric Description: Knit | Care: Tumble Dry, Machine Wash | Material: Polyester, Cotton | Country of Origin: Imported",https://jcpenney.scene7.com/is/image/JCPenney/DP1219202409105008M | https://jcpenney.scene7.com/is/image/JCPenney/DP1219202409104703M | https://jcpenney.scene7.com/is/image/JCPenney/DP1219202409104398M
https://www.jcpenney.com/p/arizona-womens-juniors-round-neck-short-sleeve-oversized-graphic-t-shirt/ppr5008671839?pTmplType=regular&searchTerm=tshirt,Arizona Womens Juniors Round Neck Short Sleeve Oversized Graphic T-Shirt,15.99,24.0,33.0,4.0,3,"Snowdrift Athletic , Raw Wood Paradise , Ice Melt , Begonia Pink , Charming Coral , Aqua Wave , Rose Festival , Phantom Grey , Green Athl Club , Orange Tropical , Phantom Coast , Lavender Coast","large , x-small , xx-large , x-large , small , medium , 3x-large","Made from soft cotton-jersey in an oversized-fit, this juniors and women's graphic t-shirt from Arizona Jean Co. has a crew neck, drop shoulders, and short sleeves. Pair it over denim shorts with sneakers or cropped wide-leg pants and sandals.","Closure Type: Pullover Head | Fit: Oversized Fit | Neckline: Round Neck | Sleeve Length: Short Sleeve | Apparel Length: 28.5 Inches | Fiber Content: 100% Cotton | Fabric Description: Jersey | Care: Machine Wash, Tumble Dry | Material: Cotton | Country of Origin: Imported",https://jcpenney.scene7.com/is/image/JCPenney/DP0305202611132999M | https://jcpenney.scene7.com/is/image/JCPenney/DP0305202611133209M | https://jcpenney.scene7.com/is/image/JCPenney/DP0305202611133104M
